                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.62648,                  1.827,                 1.1001,                      1,                0.99387,                  0.995,                 0.8524,                0.56316,                 2.1565,                 1.0196,             0.00092797,             0.00092797,             0.00092797
                     36,                0.68649,                 1.7415,                 1.0697,                      1,                0.99387,                  0.995,                 0.8524,                0.56316,                 2.1565,                 1.0196,             0.00093966,             0.00093966,             0.00093966
                     37,                0.59177,                 1.5311,                0.94262,                0.94932,                0.98637,                 0.9795,                  0.819,                0.59355,                 2.1887,                 1.0458,             0.00095055,             0.00095055,             0.00095055
                     38,                0.72728,                 2.2429,                 1.0377,                0.91161,                0.89474,                0.96356,                0.82498,                0.62133,                 2.2465,                 1.0738,             0.00096065,             0.00096065,             0.00096065
                     39,                0.52684,                 1.9336,                 1.0245,                0.91161,                0.89474,                0.96356,                0.82498,                0.62133,                 2.2465,                 1.0738,             0.00096996,             0.00096996,             0.00096996
                     40,                0.50344,                 1.2732,                0.89833,                 0.9469,                0.93894,                0.95985,                0.83105,                  0.624,                 2.0819,                 1.0419,             0.00097848,             0.00097848,             0.00097848
                     41,                0.59224,                 1.6667,                 1.0158,                 0.9942,                      1,                  0.995,                0.87408,                0.52188,                 1.6543,                0.95917,             0.00098621,             0.00098621,             0.00098621
                     42,                0.52713,                 1.4915,                0.97069,                 0.9942,                      1,                  0.995,                0.87408,                0.52188,                 1.6543,                0.95917,             0.00099314,             0.00099314,             0.00099314
                     43,                0.62142,                 1.7286,                0.92333,                0.99611,                      1,                  0.995,                0.91127,                0.41727,                 1.5369,                0.89221,             0.00099928,             0.00099928,             0.00099928
                     44,                 0.6037,                 1.6683,                0.98225,                0.99611,                      1,                  0.995,                0.91127,                0.41727,                 1.5369,                0.89221,              0.0010046,              0.0010046,              0.0010046
                     45,                0.53057,                  1.438,                0.81799,                0.99448,                      1,                  0.995,                0.88628,                0.47703,                 1.5652,                0.91634,              0.0010092,              0.0010092,              0.0010092
                     46,                0.57087,                 2.3537,                0.99587,                0.99448,                      1,                  0.995,                0.88628,                0.47703,                 1.5652,                0.91634,               0.001013,               0.001013,               0.001013
                     47,                0.63017,                 1.9416,                0.95356,                      1,                0.99635,                  0.995,                0.90089,                0.46907,                 1.4214,                0.90836,              0.0010159,              0.0010159,              0.0010159
                     48,                0.77902,                 1.7453,                 1.0965,                      1,                0.99635,                  0.995,                0.90089,                0.46907,                 1.4214,                0.90836,              0.0010181,              0.0010181,              0.0010181
                     49,                0.73805,                 1.6544,                 1.1185,                0.94452,                      1,                 0.9925,                0.89324,                0.42943,                 1.3067,                0.89539,              0.0010195,              0.0010195,              0.0010195
                     50,                0.64355,                 1.6838,                0.95837,                0.94452,                      1,                 0.9925,                0.89324,                0.42943,                 1.3067,                0.89539,                0.00101,                0.00101,                0.00101
                     51,                0.48332,                 1.2987,                0.90612,                0.94837,                      1,                  0.995,                0.92207,                0.43616,                 1.2061,                0.89746,                0.00101,                0.00101,                0.00101
                     52,                0.68764,                 1.3096,                 1.0253,                0.94837,                      1,                  0.995,                0.92207,                0.43616,                 1.2061,                0.89746,              0.0009902,              0.0009902,              0.0009902
                     53,                0.56469,                 1.3627,                0.88439,                0.99687,                      1,                  0.995,                0.87737,                0.47356,                 1.2208,                 0.9207,              0.0009704,              0.0009704,              0.0009704
                     54,                0.65525,                 1.5012,                0.96185,                0.99687,                      1,                  0.995,                0.87737,                0.47356,                 1.2208,                 0.9207,              0.0009506,              0.0009506,              0.0009506
                     55,                 0.5938,                 1.4839,                0.95677,                0.99533,                      1,                  0.995,                0.90062,                0.46863,                 1.4324,                0.91757,              0.0009308,              0.0009308,              0.0009308
                     56,                0.54459,                 1.3816,                0.95219,                0.99533,                      1,                  0.995,                0.90062,                0.46863,                 1.4324,                0.91757,               0.000911,               0.000911,               0.000911
                     57,                 0.6652,                 1.8571,                 1.0717,                      1,                0.99297,                  0.995,                 0.9089,                0.44512,                 1.9457,                0.92997,              0.0008912,              0.0008912,              0.0008912
                     58,                0.49989,                 1.4836,                0.89952,                      1,                0.99297,                  0.995,                 0.9089,                0.44512,                 1.9457,                0.92997,              0.0008714,              0.0008714,              0.0008714
                     59,                0.45876,                 1.5877,                0.94531,                0.99738,                      1,                  0.995,                0.90323,                0.42971,                 1.3196,                0.90978,              0.0008516,              0.0008516,              0.0008516
                     60,                 0.6202,                 1.4119,                0.97028,                0.99738,                      1,                  0.995,                0.90323,                0.42971,                 1.3196,                0.90978,              0.0008318,              0.0008318,              0.0008318
                     61,                0.43977,                   1.26,                0.95111,                  0.997,                      1,                  0.995,                0.90079,                0.41681,                 1.1813,                0.87943,               0.000812,               0.000812,               0.000812
                     62,                0.48326,                 1.2616,                0.91547,                  0.997,                      1,                  0.995,                0.90079,                0.41681,                 1.1813,                0.87943,              0.0007922,              0.0007922,              0.0007922
                     63,                0.51123,                 1.5663,                0.91303,                0.99679,                      1,                  0.995,                0.91955,                0.38902,                 1.1093,                 0.8762,              0.0007724,              0.0007724,              0.0007724
                     64,                0.61691,                 1.2427,                 0.9873,                0.99679,                      1,                  0.995,                0.91955,                0.38902,                 1.1093,                 0.8762,              0.0007526,              0.0007526,              0.0007526
                     65,                0.54137,                  1.269,                0.94809,                0.99665,                      1,                  0.995,                0.91505,                0.38462,                 1.0436,                0.87622,              0.0007328,              0.0007328,              0.0007328
                     66,                0.42334,                  1.514,                 0.9139,                0.99665,                      1,                  0.995,                0.91505,                0.38462,                 1.0436,                0.87622,               0.000713,               0.000713,               0.000713
                     67,                0.46745,                 1.4756,                0.91554,                0.99629,                      1,                  0.995,                0.91206,                0.38996,                  1.107,                0.87556,              0.0006932,              0.0006932,              0.0006932
                     68,                0.51639,                 1.3779,                0.96699,                0.99629,                      1,                  0.995,                0.91206,                0.38996,                  1.107,                0.87556,              0.0006734,              0.0006734,              0.0006734
                     69,                 0.7791,                 1.9098,                 1.0883,                0.99606,                      1,                  0.995,                 0.8911,                 0.4546,                 1.2772,                0.89828,              0.0006536,              0.0006536,              0.0006536
                     70,                 0.6576,                 1.5981,                0.97649,                0.99606,                      1,                  0.995,                 0.8911,                 0.4546,                 1.2772,                0.89828,              0.0006338,              0.0006338,              0.0006338
                     71,                0.55373,                   1.48,                  0.953,                      1,                0.99568,                  0.995,                0.92641,                 0.3977,                 1.1267,                0.87024,               0.000614,               0.000614,               0.000614
                     72,                0.51327,                 1.2888,                0.87532,                      1,                0.99568,                  0.995,                0.92641,                 0.3977,                 1.1267,                0.87024,              0.0005942,              0.0005942,              0.0005942
                     73,                0.60402,                  1.723,                0.98859,                0.94643,                      1,                 0.9795,                 0.9128,                0.37494,                 1.1053,                0.86172,              0.0005744,              0.0005744,              0.0005744
                     74,                 0.4377,                 1.3648,                0.94053,                0.94643,                      1,                 0.9795,                 0.9128,                0.37494,                 1.1053,                0.86172,              0.0005546,              0.0005546,              0.0005546
                     75,                0.76271,                 1.7392,                 1.0927,                0.94373,                      1,                  0.982,                 0.9115,                0.38222,                   1.09,                  0.865,              0.0005348,              0.0005348,              0.0005348
                     76,                0.44881,                 1.1193,                0.86673,                0.94373,                      1,                  0.982,                 0.9115,                0.38222,                   1.09,                  0.865,               0.000515,               0.000515,               0.000515
                     77,                0.41168,                 1.1843,                0.92571,                0.93281,                      1,                 0.9875,                 0.9106,                0.38917,                 1.0595,                 0.8698,              0.0004952,              0.0004952,              0.0004952
                     78,                0.56606,                 1.3663,                 1.0435,                0.93281,                      1,                 0.9875,                 0.9106,                0.38917,                 1.0595,                 0.8698,              0.0004754,              0.0004754,              0.0004754
                     79,                0.43023,                 1.1541,                0.86665,                0.90997,                      1,                   0.99,                0.91581,                0.39256,                 1.0096,                0.86286,              0.0004556,              0.0004556,              0.0004556
                     80,                0.41205,                 1.0415,                0.87084,                0.90997,                      1,                   0.99,                0.91581,                0.39256,                 1.0096,                0.86286,              0.0004358,              0.0004358,              0.0004358
                     81,                0.47646,                  1.162,                0.96608,                0.94897,                0.97945,                 0.9925,                0.92363,                0.38257,                0.92832,                0.85407,               0.000416,               0.000416,               0.000416
                     82,                0.40299,                 1.0971,                0.87208,                0.94897,                0.97945,                 0.9925,                0.92363,                0.38257,                0.92832,                0.85407,              0.0003962,              0.0003962,              0.0003962
                     83,                0.37209,                  1.548,                0.94597,                0.94864,                      1,                  0.995,                0.93169,                0.37695,                0.93347,                0.85747,              0.0003764,              0.0003764,              0.0003764
                     84,                0.47155,                 1.1992,                0.93143,                0.94864,                      1,                  0.995,                0.93169,                0.37695,                0.93347,                0.85747,              0.0003566,              0.0003566,              0.0003566
                     85,                0.38155,                0.92752,                0.78408,                0.99692,                      1,                  0.995,                0.93115,                0.35357,                0.90565,                0.85253,              0.0003368,              0.0003368,              0.0003368
                     86,                0.34615,                0.93376,                0.85215,                0.99692,                      1,                  0.995,                0.93115,                0.35357,                0.90565,                0.85253,               0.000317,               0.000317,               0.000317
                     87,                0.39156,                0.99886,                0.87058,                0.99704,                      1,                  0.995,                0.94796,                0.33038,                0.87594,                0.84042,              0.0002972,              0.0002972,              0.0002972
                     88,                0.56621,                 1.2898,                0.95805,                0.99704,                      1,                  0.995,                0.94796,                0.33038,                0.87594,                0.84042,              0.0002774,              0.0002774,              0.0002774
                     89,                0.72397,                 1.7347,                 1.1246,                0.99707,                      1,                  0.995,                0.96099,                0.31881,                0.86583,                0.83264,              0.0002576,              0.0002576,              0.0002576
                     90,                0.41203,                 1.8609,                0.90178,                0.99707,                      1,                  0.995,                0.96099,                0.31881,                0.86583,                0.83264,              0.0002378,              0.0002378,              0.0002378
                     91,                0.32524,                 1.8641,                0.86344,                0.99904,                      1,                  0.995,                0.95017,                0.31173,                0.83717,                0.83112,               0.000218,               0.000218,               0.000218
                     92,                 0.3662,                 1.7105,                0.79945,                0.99904,                      1,                  0.995,                0.95017,                0.31173,                0.83717,                0.83112,              0.0001982,              0.0001982,              0.0001982
                     93,                0.32739,                 1.6964,                0.79401,                      1,                0.99293,                  0.995,                0.95074,                0.30696,                0.82476,                0.82905,              0.0001784,              0.0001784,              0.0001784
                     94,                0.28478,                 1.6657,                0.71386,                      1,                0.99293,                  0.995,                0.95074,                0.30696,                0.82476,                0.82905,              0.0001586,              0.0001586,              0.0001586
                     95,                0.27697,                  1.603,                0.84711,                      1,                0.99965,                  0.995,                0.95833,                0.29697,                0.81745,                0.82499,              0.0001388,              0.0001388,              0.0001388
                     96,                0.34249,                 1.6935,                0.88089,                      1,                0.99965,                  0.995,                0.95833,                0.29697,                0.81745,                0.82499,               0.000119,               0.000119,               0.000119
                     97,                0.30853,                 1.6627,                0.88923,                0.99797,                      1,                  0.995,                0.97319,                0.28423,                0.82549,                0.82096,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.29175,                 1.7547,                0.74025,                0.99797,                      1,                  0.995,                0.97319,                0.28423,                0.82549,                0.82096,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.27259,                 1.6658,                0.82904,                0.99767,                      1,                  0.995,                0.97263,                0.27943,                0.82816,                0.81814,               5.96e-05,               5.96e-05,               5.96e-05
